?prop,?propLabel,?oCount
<http://www.wikidata.org/entity/P407>,"""language of work or name""@en",37
<http://www.wikidata.org/entity/P4948>,"""DDB ID""@en",36
<http://www.wikidata.org/entity/P1651>,"""YouTube video ID""@en",35
<http://www.wikidata.org/entity/P7037>,"""COURAGE ID""@en",35
<http://www.wikidata.org/entity/P5816>,"""state of conservation""@en",32
<http://www.wikidata.org/entity/P291>,"""place of publication""@en",31
<http://www.wikidata.org/entity/P2061>,"""aspect ratio (W:H)""@en",31
<http://www.wikidata.org/entity/P937>,"""work location""@en",31
<http://www.wikidata.org/entity/P2789>,"""connects with""@en",30
<http://www.wikidata.org/entity/P825>,"""dedicated to""@en",30
<http://www.wikidata.org/entity/P1949>,"""CulturaItalia ID""@en",30
<http://www.wikidata.org/entity/P1256>,"""Iconclass notation""@en",29
<http://www.wikidata.org/entity/P5691>,"""BND ID""@en",27
<http://www.wikidata.org/entity/P8408>,"""KBpedia ID""@en",27
<http://www.wikidata.org/entity/P7108>,"""location of the point of view""@en",26
<http://www.wikidata.org/entity/P3219>,"""Encyclopædia Universalis ID""@en",25
<http://www.wikidata.org/entity/P576>,"""dissolved, abolished or demolished date""@en",25
<http://www.wikidata.org/entity/P1325>,"""external data available at""@en",25
<http://www.wikidata.org/entity/P366>,"""has use""@en",24
<http://www.wikidata.org/entity/P1557>,"""manifestation of""@en",24
<http://www.wikidata.org/entity/P1810>,"""subject named as""@en",23
<http://www.wikidata.org/entity/P106>,"""occupation""@en",23
<http://www.wikidata.org/entity/P21>,"""sex or gender""@en",23
<http://www.wikidata.org/entity/P629>,"""edition or translation of""@en",23
<http://www.wikidata.org/entity/P4764>,"""Base Arcade artwork ID""@en",22
<http://www.wikidata.org/entity/P30>,"""continent""@en",21
<http://www.wikidata.org/entity/P7704>,"""Europeana entity""@en",21
<http://www.wikidata.org/entity/P6334>,"""Agence photo RMN package ID""@en",21
<http://www.wikidata.org/entity/P633>,"""Quebec cultural heritage directory ID""@en",20
<http://www.wikidata.org/entity/P279>,"""subclass of""@en",20
<http://www.wikidata.org/entity/P6379>,"""has works in the collection""@en",19
<http://www.wikidata.org/entity/P4814>,"""Inventories of American Painting and Sculpture control number""@en",19
<http://www.wikidata.org/entity/P433>,"""issue""@en",18
<http://www.wikidata.org/entity/P6839>,"""TV Tropes identifier""@en",18
<http://www.wikidata.org/entity/P6372>,"""Interpol WOA artwork ID (OBSOLETE)""@en",18
<http://www.wikidata.org/entity/P3480>,"""base Mémoire reference""@en",16
<http://www.wikidata.org/entity/P1296>,"""Gran Enciclopèdia Catalana ID""@en",16
<http://www.wikidata.org/entity/P7818>,"""French Vikidia ID""@en",15
<http://www.wikidata.org/entity/P9344>,"""has graphical element""@en",15
<http://www.wikidata.org/entity/P126>,"""maintained by""@en",14
<http://www.wikidata.org/entity/P8565>,"""British Museum object ID""@en",14
<http://www.wikidata.org/entity/P1066>,"""student of""@en",14
<http://www.wikidata.org/entity/P2186>,"""Wiki Loves Monuments ID""@en",14
<http://www.wikidata.org/entity/P859>,"""sponsor""@en",14
<http://www.wikidata.org/entity/P443>,"""pronunciation audio""@en",14
<http://www.wikidata.org/entity/P582>,"""end time""@en",14
<http://www.wikidata.org/entity/P2067>,"""mass""@en",13
<http://www.wikidata.org/entity/P4342>,"""Store norske leksikon ID""@en",13
<http://www.wikidata.org/entity/P6576>,"""Art Fund artwork ID""@en",13
<http://www.wikidata.org/entity/P551>,"""residence""@en",13
<http://www.wikidata.org/entity/P6310>,"""Muséosphère work ID""@en",13
<http://www.wikidata.org/entity/P27>,"""country of citizenship""@en",13
<http://www.wikidata.org/entity/P2699>,"""URL""@en",13
<http://www.wikidata.org/entity/P6058>,"""Larousse ID""@en",13
<http://www.wikidata.org/entity/P1441>,"""present in work""@en",12
<http://www.wikidata.org/entity/P98>,"""editor""@en",12
<http://www.wikidata.org/entity/P4742>,"""Uniform Resource Identifier Scheme""@en",12
<http://www.wikidata.org/entity/P213>,"""ISNI""@en",12
<http://www.wikidata.org/entity/P8814>,"""WordNet 3.1 Synset ID""@en",12
<http://www.wikidata.org/entity/P580>,"""start time""@en",12
<http://www.wikidata.org/entity/P101>,"""field of work""@en",12
<http://www.wikidata.org/entity/P478>,"""volume""@en",12
<http://www.wikidata.org/entity/P949>,"""National Library of Israel ID (old)""@en",12
<http://www.wikidata.org/entity/P159>,"""headquarters location""@en",11
<http://www.wikidata.org/entity/P51>,"""audio""@en",11
<http://www.wikidata.org/entity/P5223>,"""Information Center for Israeli Art artwork ID""@en",11
<http://www.wikidata.org/entity/P8313>,"""Den Store Danske ID""@en",11
<http://www.wikidata.org/entity/P7937>,"""form of creative work""@en",11
<http://www.wikidata.org/entity/P2163>,"""FAST ID""@en",11
<http://www.wikidata.org/entity/P4257>,"""National Museums of Japan e-museum ID""@en",11
<http://www.wikidata.org/entity/P11005>,"""Artsy artwork ID""@en",11
<http://www.wikidata.org/entity/P282>,"""writing system""@en",10
<http://www.wikidata.org/entity/P710>,"""participant""@en",10
<http://www.wikidata.org/entity/P1114>,"""quantity""@en",10
<http://www.wikidata.org/entity/P1574>,"""exemplar of""@en",10
<http://www.wikidata.org/entity/P6819>,"""calligrapher""@en",10
<http://www.wikidata.org/entity/P1817>,"""addressee""@en",10
<http://www.wikidata.org/entity/P2441>,"""literal translation""@en",10
<http://www.wikidata.org/entity/P996>,"""document file on Wikimedia Commons""@en",10
<http://www.wikidata.org/entity/P770>,"""cause of destruction""@en",9
<http://www.wikidata.org/entity/P641>,"""sport""@en",9
<http://www.wikidata.org/entity/P6262>,"""Fandom article ID""@en",9
<http://www.wikidata.org/entity/P888>,"""JSTOR article ID""@en",9
<http://www.wikidata.org/entity/P675>,"""Google Books ID""@en",9
<http://www.wikidata.org/entity/P5059>,"""modified version of""@en",9
<http://www.wikidata.org/entity/P4564>,"""Art Museum of Estonia artwork ID""@en",9
<http://www.wikidata.org/entity/P304>,"""page(s)""@en",9
<http://www.wikidata.org/entity/P9302>,"""script style""@en",9
<http://www.wikidata.org/entity/P1779>,"""possible creator""@en",8
<http://www.wikidata.org/entity/P2046>,"""area""@en",8
<http://www.wikidata.org/entity/P1559>,"""name in native language""@en",8
<http://www.wikidata.org/entity/P950>,"""Biblioteca Nacional de España ID""@en",8
<http://www.wikidata.org/entity/P7859>,"""WorldCat Identities ID""@en",8
<http://www.wikidata.org/entity/P547>,"""commemorates""@en",8
<http://www.wikidata.org/entity/P110>,"""illustrator""@en",8
<http://www.wikidata.org/entity/P6629>,"""Artcurial lot ID""@en",7
<http://www.wikidata.org/entity/P9834>,"""Finnish National Gallery artwork ID""@en",7
<http://www.wikidata.org/entity/P7293>,"""PLWABN ID""@en",7
<http://www.wikidata.org/entity/P805>,"""statement is subject of""@en",7
<http://www.wikidata.org/entity/P691>,"""NKCR AUT ID""@en",7
<http://www.wikidata.org/entity/P69>,"""educated at""@en",7
<http://www.wikidata.org/entity/P1412>,"""languages spoken, written or signed""@en",7
<http://www.wikidata.org/entity/P7418>,"""image of frontside""@en",7
<http://www.wikidata.org/entity/P8179>,"""Canadiana Name Authority ID""@en",7
<http://www.wikidata.org/entity/P4372>,"""iPatrimônio ID""@en",7
<http://www.wikidata.org/entity/P569>,"""date of birth""@en",7
<http://www.wikidata.org/entity/P6760>,"""Know Your Meme ID""@en",7
<http://www.wikidata.org/entity/P7772>,"""Atlas Obscura identifier""@en",7
